Designator,Footprint,Quantity,Value,LCSC Part #
"D_1, D_14, D_56, D_57, D_58, D_59, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_68, D_69, D_70, D_71, D_72, D_73, D_74, D_75, D_76, D_77, D_78, D_79, D_80, D_81, D_82, D_83, D_84, D_85, D_86, D_87, D_88, D_89, D_90, D_91, D_92, D_93, D_94, D_95, D_96, D_97, D_98",D_SOD-123,45,D,
"J2, J3",PinHeader_1x05_P2.54mm_Horizontal,2,Conn_01x04_Socket,
"J4, J5",PinHeader_1x03_P2.54mm_Horizontal,2,Conn_01x03_Socket,
"K_1, K_100, K_134, K_94",MX-Solderable-1.5U,4,KEYSW,
"K_101, K_102, K_103, K_104, K_105, K_106, K_107, K_108, K_109, K_110, K_111, K_112, K_114, K_115, K_116, K_117, K_118, K_119, K_120, K_121, K_122, K_123, K_124, K_125, K_127, K_128, K_129, K_130, K_131, K_132, K_135, K_93, K_96, K_97, K_98, K_99",MX-Solderable-1U,36,KEYSW,
K_113,MX-Solderable-6.25U,1,KEYSW,
"K_126, K_133, K_70",MX-Solderable-1.25U,3,KEYSW,
"K_14, K_17, K_18, K_19, K_20, K_22, K_23, K_24, K_25, K_26, K_27, K_28, K_29, K_30, K_31, K_32, K_33, K_35, K_36, K_37, K_38, K_39, K_40, K_41, K_42, K_43, K_44, K_45, K_46, K_48, K_49, K_50, K_51, K_52, K_53, K_57",Gateron-KS33-Solderable-1U,36,KEYSW,
"K_15, K_21, K_54, K_56",Gateron-KS33-Solderable-1.5U,4,KEYSW,
K_16,Gateron-KS33-Solderable-2U,1,KEYSW,
K_34,Gateron-KS33-Solderable-6.25U,1,KEYSW,
"K_47, K_55, K_71",Gateron-KS33-Solderable-1.25U,3,KEYSW,
K_95,MX-Solderable-2U,1,KEYSW,
U1,Waveshare_rp2040_Tiny,1,~,
